The Passengers List: 
Gregory Hamlin
Pedro Lourencao
Kpodo Awiti
Omar Thiery
Morand Gwen
Lattar Calogero
Pera Hanna
Valimaa Inuzuka
Hitoshi Kiran
Suling Boris
Kojemiachenko Greta
Hamm Pedro
Lourencini Kristo
Awiti Ryan
MZoudi Thomas
Moreau Gwen
Lau Calorio
Regina Pirjo
Waltari Inuzuka
Hitoshi Kiw
Suling Boris
Lucas Ubweza
Awora Ryaz
Nahid Tiffany
Morel Hamilton
Laubmeier Calorio
Rosa Aki
Vanhanen Inuzuka
Boris Kokorin
Grover Hammond
------------------------------------
The Total Number Of People: 25
The maximum waiting time: 320 Sec
The Average waiting time: 10 Sec
